area_type,availability,location,size,society,total_sqft,bath,balcony,price
Built-up  Area,Ready To Move,Attibele,1 BHK,Jae 2hu,400,1,1,11
Built-up  Area,18-Mar,Kundalahalli,2 BHK,Dieldli,1047,2,1,82
Super built-up  Area,Ready To Move,Kaverappa Layout,2 BHK,Kesomrn,1282,2,2,87
Super built-up  Area,Ready To Move,NGR Layout,2 BHK,,1020,2,1,45.9
Plot  Area,Ready To Move,Kammanahalli,4 Bedroom,,1080,3,1,155
Super built-up  Area,Ready To Move,Whitefield,2 BHK,UKe 2nz,1495,2,1,79.5
Built-up  Area,Ready To Move,Kasavanhalli,4 Bedroom,Vaidsi ,3260,4,1,240
Super built-up  Area,17-Oct,Divya Unnathi Layout,3 BHK,,1611,2,2,64.44
Super built-up  Area,Ready To Move,Koramangala,4 BHK,K ncy R,3500,5,2,425
Built-up  Area,Ready To Move,Vasantha Vallabha Nagar,3 Bedroom,,1500,2,2,95
Super built-up  Area,Ready To Move,Sahakara Nagar,3 BHK,EsniaGa,1500,2,2,95
Plot  Area,Ready To Move,Yelahanka,4 Bedroom,Aaire S,3206,5,,270
Super built-up  Area,Ready To Move,Uttarahalli,3 BHK,Laihai ,1540,3,0,50
Super built-up  Area,18-May,Hosa Road,3 BHK,Pamesy ,1639,3,1,80
Plot  Area,Ready To Move,Marathahalli,4 Bedroom,,700,4,,72
Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,2 BHK,GrrvaGr,1303,2,2,55.79
Super built-up  Area,Ready To Move,Koramangala,2 BHK,K ncy R,1005,1,1,110
Super built-up  Area,Ready To Move,Kammasandra,1 BHK,Puitea ,650 - 665,1,0,18.41
Super built-up  Area,18-Oct,Chandapura,3 BHK,SunceEs,1305,3,1,33.28
Plot  Area,Ready To Move,Kothannur,3 Bedroom,,600,4,0,95
Super built-up  Area,Ready To Move,sapthagiri Layout,2 BHK,,1300,1,1,115
Super built-up  Area,Ready To Move,Brookefield,3 BHK,Saowson,1440,2,3,68
Super built-up  Area,18-Dec,Seegehalli,2 BHK,,901,2,1,35.14
Super built-up  Area,Ready To Move,Rajaji Nagar,3 BHK,Brway G,1725,3,3,200
Built-up  Area,Ready To Move,Sarjapur,3 BHK,,900,2,1,42
Super built-up  Area,Ready To Move,BEML Layout,2 BHK,,1060,2,1,55
Super built-up  Area,Ready To Move,NGR Layout,2 BHK,,1020,2,1,48.45
Super built-up  Area,20-Dec,Varthur,3 BHK,Myple M,1535,3,2,65.99
Built-up  Area,Ready To Move,Alur,1 BHK,,530,1,1,20
Super built-up  Area,Ready To Move,Haralur Road,3 BHK,NRowse ,1464,3,2,56
Super built-up  Area,Ready To Move,Devarabisanahalli,2 BHK,Spdoren,1350,2,3,80
Plot  Area,Ready To Move,Rajaji Nagar,4 Bedroom,,315,4,2,90
Super built-up  Area,Ready To Move,Yeshwanthpur,1 BHK,IBityin,665,1,1,36.85
Super built-up  Area,19-Jan,Mysore Road,2 BHK,,1175,2,1,73.5
Built-up  Area,Ready To Move,Hoodi,2 BHK,Goeur G,1425,2,2,80
Plot  Area,Ready To Move,Chikkabanavar,1 Bedroom,,1200,1,0,20
Plot  Area,18-Aug,ITPL,3 Bedroom,,1200,3,1,56.12
Built-up  Area,Ready To Move,Somasundara Palya,2 BHK,Abeesmi,1255,2,2,67
Super built-up  Area,Ready To Move,Hegde Nagar,3 BHK,SoisoCa,2112.95,4,2,145
Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,1 BHK,,600,1,1,22
Super built-up  Area,18-Jul,Haralur Road,3 BHK,SNnia E,1810,3,2,100
Super built-up  Area,Ready To Move,Indira Nagar,2 BHK,,1200,2,2,93
Super built-up  Area,Ready To Move,Harlur,2 BHK,,1033,2,2,49
Super built-up  Area,Ready To Move,ITPL,3 BHK,,1548,3,2,89.5
Super built-up  Area,18-May,Horamavu Banaswadi,3 BHK,,1611,3,3,66
Built-up  Area,18-Jul,Electronic City Phase II,3 BHK,Sryalan,1400,2,1,40.43
Super built-up  Area,Ready To Move,Vidyaranyapura,3 BHK,Graceik,1485,2,2,67
Built-up  Area,Ready To Move,Margondanahalli,2 Bedroom,,2400,2,1,82
Super built-up  Area,Ready To Move,Pattandur Agrahara,2 BHK,Shvarji,1025,2,1,44.5
Plot  Area,Ready To Move,Thurahalli,4 Bedroom,,600,3,2,65
Super built-up  Area,Ready To Move,Hallehalli,2 BHK,,1225,2,,53
Built-up  Area,Ready To Move,5th Phase JP Nagar,2 BHK,,1256,2,1,62.8
Super built-up  Area,Ready To Move,Whitefield,4 BHK,ArsiaEx,2268,3,2,163
Super built-up  Area,21-Dec,Kanakpura Road,3 BHK,PrarePa,1100,3,2,53
Super built-up  Area,Ready To Move,Vadarpalya,2 BHK,VMianri,1141,2,0,62
Built-up  Area,Ready To Move,Attibele,1 BHK,Jae 1hu,400,1,1,12
Plot  Area,Ready To Move,Chandapura,2 Bedroom,,1400,2,0,60
Super built-up  Area,Ready To Move,Kattigenahalli,4 Bedroom,,4100,7,,140
Plot  Area,18-Mar,Marathi Layout,1 Bedroom,,5.31Acres,1,0,110
Carpet  Area,Ready To Move,Weavers Colony,1 BHK,,15,1,0,30
Super built-up  Area,Ready To Move,Raghavendra Nagar,2 BHK,,1175,2,2,48.27
Super built-up  Area,Ready To Move,Sahakara Nagar,2 BHK,,1100,2,1,56
Super built-up  Area,Ready To Move,Kanakpura Road,3 BHK,Puestol,1843,3,2,95.84
Plot  Area,Ready To Move,1st Phase JP Nagar,4 Bedroom,,1200,7,2,240
Super built-up  Area,19-Dec,Horamavu Banaswadi,2 BHK,,1460,2,1,80.5
Super built-up  Area,Ready To Move,Rachenahalli,3 BHK,Sovar S,1530,2,2,74.5
Built-up  Area,Ready To Move,HSR Layout,2 BHK,,1467,2,1,55
Super built-up  Area,Ready To Move,KR Layout,1 BHK,,950,1,1,40
Super built-up  Area,Ready To Move,Vittasandra,2 BHK,Prlla C,1246,2,1,64.5
Super built-up  Area,19-Dec,Kanakapura,1 BHK,GoityEt,711,1,1,38
Super built-up  Area,Ready To Move,Haralur Road,2 BHK,RInceeg,1194,2,2,46
Super built-up  Area,Ready To Move,Babusapalaya,3 BHK,ARngsd ,1358,2,1,43.4
Carpet  Area,Ready To Move,Nagasandra,6 Bedroom,,1500,5,1,130
Super built-up  Area,Ready To Move,Hoodi,2 BHK,Goeur G,1420,2,2,75
Super built-up  Area,Ready To Move,Kathriguppe,3 BHK,,1250,2,1,68.75
Built-up  Area,Ready To Move,Akshaya Nagar,2 BHK,,1280,2,,58
Super built-up  Area,Ready To Move,Nagappa Reddy Layout,2 BHK,Gruesaf,1209,2,1,50
Built-up  Area,Ready To Move,Kempapura,5 Bedroom,,4200,5,2,225
Plot  Area,Ready To Move,BTM 1st Stage,4 Bedroom,,1215,4,3,205
Super built-up  Area,Ready To Move,Panathur,3 BHK,Saite G,1315,2,1,54.8
Super built-up  Area,Ready To Move,Kariyammana Agrahara,3 BHK,,1800,3,3,90
Built-up  Area,Ready To Move,Hessarghatta,5 Bedroom,,1600,4,0,125
Super built-up  Area,Ready To Move,TC Palaya,3 BHK,RKncyha,1600,2,2,65
Plot  Area,Ready To Move,Binnamangala,6 Bedroom,,3968,5,2,900
Super built-up  Area,Ready To Move,Suraksha Nagar,3 BHK,AritaFe,1563,3,2,52
Super built-up  Area,Ready To Move,Whitefield,3 BHK,SRidePr,1560,2,2,72
Super built-up  Area,Ready To Move,Brookefield,3 BHK,Krrbsil,2169,4,,115
Plot  Area,Ready To Move,Lakshmi Layout,4 Bedroom,,900,10,,170
Super built-up  Area,Ready To Move,Rachenahalli,2 BHK,,1050,2,2,55.5
Super built-up  Area,Ready To Move,Iblur Village,3 BHK,Emine P,3235,3,1,235
Plot  Area,Ready To Move,TC Palaya,3 Bedroom,,1200,3,0,66
Super built-up  Area,Ready To Move,HSR Layout,2 BHK,NRosete,1140,2,2,46
Plot  Area,Ready To Move,7th Phase JP Nagar,3 Bedroom,,1500,3,1,170
Super built-up  Area,Ready To Move,Horamavu Agara,3 BHK,,1560,3,2,75
Super built-up  Area,Ready To Move,JP Nagar,2 BHK,Saowsri,1100,2,2,70
Super built-up  Area,Ready To Move,Kasavanhalli,3 BHK,,1260,2,3,40.32
Super built-up  Area,18-Mar,Hebbal,2 BHK,Arcia S,1036,2,1,50
Built-up  Area,Ready To Move,Akshaya Nagar,3 BHK,DLhtsnd,1662,3,3,85.1
Super built-up  Area,Ready To Move,Yelachenahalli,3 BHK,PuontBe,1464,2,3,105
Super built-up  Area,Ready To Move,Yelahanka,2 BHK,NCowsar,1234,2,2,80
Super built-up  Area,Ready To Move,Sarjapur  Road,3 BHK,Arldsyo,1403,3,1,55
Plot  Area,Ready To Move,Kadugondanahalli,4 Bedroom,,915,4,1,54.9
Plot  Area,Ready To Move,2nd Stage Nagarbhavi,6 Bedroom,,3000,8,3,451
Super built-up  Area,Ready To Move,Seegehalli,3 BHK,,1150,2,2,42.9
Built-up  Area,Ready To Move,Hebbal,4 BHK,RMudeat,3900,4,2,410
Built-up  Area,Ready To Move,Yeshwanthpur,5 Bedroom,,850,4,2,90
Super built-up  Area,18-Mar,Kanakapura,2 BHK,,929,2,1,46
Plot  Area,Ready To Move,2nd Stage Nagarbhavi,6 Bedroom,,2400,8,3,450
Plot  Area,Ready To Move,TC Palaya,3 Bedroom,,1350,2,1,75
Super built-up  Area,Ready To Move,Vasanthapura,2 BHK,,1135,2,1,39.73
Built-up  Area,Ready To Move,Basava Nagar,2 BHK,Saarea ,1405,2,2,70
Plot  Area,18-Sep,Whitefield,2 Bedroom,,1200,2,1,45.84
Super built-up  Area,18-Apr,Haralur Road,4 BHK,SNnia E,2805,4,3,154
Super built-up  Area,Ready To Move,Yeshwanthpur,2 BHK,IBityin,1161,2,2,64.08
Super built-up  Area,18-Dec,Kanakpura Road,2 BHK,Soena A,1290,2,3,74
Super built-up  Area,Ready To Move,Yeshwanthpur,3 BHK,IBityin,2557,3,2,141
Built-up  Area,Ready To Move,2nd Block Hrbr Layout,3 BHK,Raaden ,1480,3,2,90
Plot  Area,Ready To Move,BTM 1st Stage,4 Bedroom,Srvasks,3300,14,,500
Super built-up  Area,20-Dec,Old Madras Road,3 BHK,SheldGr,1350,3,0,54.54
Super built-up  Area,Ready To Move,Kadugodi,3 BHK,MSingco,1580,2,2,65
Super built-up  Area,17-Oct,Banashankari,3 BHK,,1470,2,1,88.64
Super built-up  Area,18-Jun,Ananth Nagar,1 BHK,,500,1,1,14
Super built-up  Area,18-Sep,Sarjapur  Road,2 BHK,PualeSk,1346,2,1,61.92
Super built-up  Area,Ready To Move,Canara Bank Layout,3 BHK,,1600,3,3,90
Super built-up  Area,Ready To Move,Naganathapura,2 BHK,,720,2,1,120
Plot  Area,19-Mar,Narasapura,2 Bedroom,,30Acres,2,2,29.5
Plot  Area,Ready To Move,Manjunath Nagar,4 Bedroom,,1200,4,0,135
Super built-up  Area,Ready To Move,Basapura,2 BHK,RMncy R,1200,2,2,35
Built-up  Area,Ready To Move,Channasandra,3 BHK,Pritehi,1340,2,2,48.33
Plot  Area,Ready To Move,Devanahalli,4 Bedroom,Soyleif,6136,4,,560
Super built-up  Area,Ready To Move,Jigani,2 BHK,DLhtsan,918,2,2,48
Plot  Area,Ready To Move,Singena Agrahara,3 Bedroom,CoiewSy,1500,3,2,115
Super built-up  Area,Ready To Move,Yelahanka,2 BHK,Velas V,1315,2,2,85
Plot  Area,Ready To Move,Sector 1 HSR Layout,4 Bedroom,,2400,5,,775
Super built-up  Area,Ready To Move,Uttarahalli,3 BHK,,1390,2,2,62.55
Super built-up  Area,Ready To Move,Uttarahalli,3 BHK,Aklia R,1330,2,1,56
Built-up  Area,Ready To Move,Jalahalli,5 BHK,BrardCo,3100,4,,265
Super built-up  Area,17-Dec,Mango Garden Layout,3 BHK,Ceral C,1824,3,3,125
Super built-up  Area,Ready To Move,7th Phase JP Nagar,3 BHK,Brnia G,1420,2,2,96
Plot  Area,Ready To Move,Kacharakanahalli,1 Bedroom,,750,1,0,56.25
Super built-up  Area,Ready To Move,Jalahalli East,3 BHK,ShshaSa,1260,2,1,60
Super built-up  Area,19-Sep,Hennur Road,3 BHK,Orens G,1561,3,2,95
Plot  Area,Ready To Move,5th Phase JP Nagar,4 Bedroom,,812,6,3,165
Super built-up  Area,Ready To Move,"Bidere Agarahara, Behind Safal market",2 BHK,,1060,2,2,42
Plot  Area,Ready To Move,Hoodi,4 Bedroom,,1120,8,3,145
Super built-up  Area,18-Jul,Haralur Road,2 BHK,SNnia E,1225,2,1,67.38
Super built-up  Area,Ready To Move,Thanisandra,3 BHK,Soitya ,2144,3,2,135
Plot  Area,Ready To Move,Kengeri,4 Bedroom,,1200,6,2,140
Super built-up  Area,Ready To Move,Electronic City,2 BHK,Itelaa ,880,2,2,29
Super built-up  Area,21-Dec,Hoodi,3 BHK,GoAirej,1639,3,2,110
Built-up  Area,Ready To Move,Thanisandra,3 BHK,Pronyt ,1240,2,1,62
Super built-up  Area,Ready To Move,Kanakpura Road,2 BHK,,1500,2,2,69
Super built-up  Area,Ready To Move,Haralur Road,2 BHK,RInceeg,1243,2,1,46
Super built-up  Area,Ready To Move,Marathahalli,3 BHK,Aiitya ,1575,3,,78
Super built-up  Area,Ready To Move,Haralur Road,2 BHK,,1027,2,2,44
Super built-up  Area,Ready To Move,Kambipura,3 BHK,Prrtht ,1082,2,1,56
Super built-up  Area,Ready To Move,Konanakunte,3 BHK,,1637,3,3,73
Super built-up  Area,Ready To Move,Kanakpura Road,3 BHK,Puestol,1665,3,2,86.58
Super built-up  Area,18-Dec,Electronic City,2 BHK,GoontLa,1265,2,0,56.93
Super built-up  Area,21-Dec,Electronic City,3 BHK,KonteiT,1691,2,2,102
Super built-up  Area,Ready To Move,Thanisandra,2 BHK,SLaceda,1100,2,1,38
Built-up  Area,Ready To Move,Grihalakshmi Layout,5 Bedroom,,24,2,2,150
Plot  Area,19-Jan,Gopalkrishna Nagar,3 Bedroom,,1500,3,2,62
Built-up  Area,Ready To Move,Hosakerehalli,4 BHK,Taonte ,3205,5,1,380
Built-up  Area,Ready To Move,Kammanahalli,5 Bedroom,,1666,4,1,150
Super built-up  Area,Ready To Move,Choodasandra,2 BHK,GRhtiru,1115,2,2,50
Super built-up  Area,Ready To Move,Mysore Road,2 BHK,Brama P,1070,2,1,45
Super built-up  Area,Ready To Move,Indira Nagar,2 BHK,Aentsbe,1128,2,2,105
Super built-up  Area,Ready To Move,Budigere,2 BHK,PrityTr,1162,2,1,57
Super built-up  Area,Ready To Move,Sai Gardens,2 BHK,Alivae ,1339,2,2,55
Super built-up  Area,Ready To Move,Mahadevpura,2 BHK,Neagar ,1192,2,2,75
Super built-up  Area,Ready To Move,Haralur Road,3 BHK,DSimaUl,1920,3,1,115
Super built-up  Area,Ready To Move,Hennur,2 BHK,Shateor,1255,2,1,52.32
Super built-up  Area,18-Apr,Rajaji Nagar,2 BHK,ProdsWe,1357,2,1,115
Super built-up  Area,Ready To Move,Dodda Kempaiah Layout,3 BHK,,1600,3,2,75
Super built-up  Area,Ready To Move,Hanumanth Nagar,2 BHK,Saersel,1225,2,2,55.11
Plot  Area,Ready To Move,Whitefield,4 Bedroom,Saark H,2400,4,3,200
Super built-up  Area,Ready To Move,Kasturi Nagar,3 BHK,,1570,3,3,80
Super built-up  Area,Ready To Move,Thanisandra,2 BHK,Bhmesy ,1093,2,2,70
Built-up  Area,Ready To Move,Basaveshwara Nagar,3 BHK,Suncy R,1865,3,3,145
Plot  Area,Ready To Move,R.T. Nagar,6 Bedroom,,1200,7,3,165
Super built-up  Area,Ready To Move,Kaikondrahalli,2 BHK,Srsica ,1039,2,2,80
Super built-up  Area,Ready To Move,Vittasandra,2 BHK,Prlla C,1246,2,1,64.5
Super built-up  Area,Ready To Move,Whitefield,3 BHK,Suent V,1985,3,2,75
Super built-up  Area,Ready To Move,Hosakerehalli,3 BHK,APncyla,1590,3,3,49
Plot  Area,Ready To Move,Hunasamaranahalli,4 Bedroom,EmardBo,4000,4,2,675
Super built-up  Area,Ready To Move,Electronic City Phase II,2 BHK,Assha A,775,2,2,38
Super built-up  Area,Ready To Move,RWF West Colony,2 BHK,PancyRe,1000,2,1,50
Super built-up  Area,Ready To Move,Hebbal Kempapura,3 BHK,Goateds,1800,3,2,175
Super built-up  Area,18-Jun,Bommasandra,2 BHK,SSestth,1035,2,1,41
Super built-up  Area,Ready To Move,Dasarahalli,3 BHK,Syonyph,1520,2,1,75
Super built-up  Area,Ready To Move,Whitefield,2 BHK,BrlisCo,1360,2,1,95
Plot  Area,Ready To Move,Bileshivale,4 Bedroom,FeowsMe,6000,5,3,400
Super built-up  Area,Ready To Move,Kodigehaali,2 BHK,Shyas S,1117,2,2,56
Plot  Area,Ready To Move,KR Puram,4 Bedroom,Esnamin,1200,4,3,120
Super built-up  Area,Ready To Move,EPIP Zone,2 BHK,BrontLa,1330,2,1,92.5
Super built-up  Area,Ready To Move,Marathahalli,3 BHK,Prionad,1937,3,2,160
Super built-up  Area,18-Aug,Electronic City,2 BHK,Prarkun,1128,2,1,65.49
Super built-up  Area,Ready To Move,Neeladri Nagar,2 BHK,NatisAt,1053,2,1,45
Super built-up  Area,18-May,Panathur,2 BHK,Prcesvy,1198,2,1,77
Super built-up  Area,18-Apr,Marathahalli,2 BHK,Spows M,1152,2,1,56
Super built-up  Area,17-Dec,1st Block Jayanagar,6 BHK,,1200,6,2,125
Super built-up  Area,Ready To Move,Frazer Town,2 BHK,Maentr ,1625,2,1,75
Super built-up  Area,Ready To Move,Kundalahalli,3 BHK,Dieldli,1397,3,3,105
Super built-up  Area,Ready To Move,Yeshwanthpur,3 BHK,Saade E,1523,3,3,170
Super built-up  Area,Ready To Move,Kambipura,2 BHK,Prrtht ,883,2,1,45
Super built-up  Area,Ready To Move,Kaggalipura,1 BHK,Baowsig,700,1,0,38
Super built-up  Area,Ready To Move,Yelahanka,2 BHK,Neite T,1170,2,1,62.5
Super built-up  Area,Ready To Move,Kanakpura Road,3 BHK,Shiew T,1200,2,2,42
Built-up  Area,Ready To Move,Manayata Tech Park,3 BHK,,2400,3,2,170
Super built-up  Area,Ready To Move,Kullappa Colony,2 BHK,,1480,2,2,65
Super built-up  Area,Ready To Move,Akshaya Nagar,3 BHK,DLhtsnd,1897,3,2,120
Super built-up  Area,Ready To Move,Rachenahalli,2 BHK,,996,2,1,67
Super built-up  Area,18-May,Haralur Road,3 BHK,SNnia E,1875,3,2,110
Super built-up  Area,Ready To Move,Williams Town,3 BHK,,1500,2,2,98
Super built-up  Area,Ready To Move,Jaya Nagar East,3 BHK,Maens G,3095,3,3,350
Super built-up  Area,Ready To Move,Ambalipura,3 BHK,SJarkte,1390,2,1,175
Super built-up  Area,20-Dec,Yelahanka,3 BHK,Un 46th,1445 - 1455,3,0,65.255
Super built-up  Area,17-Nov,Yelahanka,1 BHK,Prensya,697,1,0,45
Built-up  Area,Ready To Move,Sarjapur  Road,1 BHK,Shthi S,710,1,1,27
Carpet  Area,Ready To Move,Iggalur,2 BHK,VaoldMa,910,2,1,30.5
Built-up  Area,Ready To Move,Sompura,3 BHK,Suiseit,1025,2,1,48
Super built-up  Area,18-Aug,Magadi Road,2 BHK,Vrenty ,884 - 1116,2,0,46.5
Plot  Area,Ready To Move,Harlur,4 Bedroom,,1200,4,,244
Super built-up  Area,18-May,Horamavu Agara,3 BHK,,1453,2,1,46.48
Super built-up  Area,Ready To Move,Sarjapur  Road,4 BHK,Adeatlm,3335,5,2,300
Super built-up  Area,18-Mar,Thanisandra,2 BHK,SLityee,850 - 1093,2,0,36.435
Super built-up  Area,Ready To Move,Bellandur,2 BHK,,1281,2,1,74
Built-up  Area,Ready To Move,Cooke Town,1 BHK,,565,1,1,35
Built-up  Area,Ready To Move,Varthur,2 BHK,DSingSt,1024,2,2,42
Built-up  Area,Ready To Move,Electronic City,3 BHK,Suashen,1620,3,2,62
Super built-up  Area,Ready To Move,Whitefield,2 BHK,SSthamh,1254,2,2,40
Built-up  Area,Ready To Move,Banashankari,3 BHK,Skave E,1300,2,2,75
Built-up  Area,Ready To Move,Doddakallasandra,2 BHK,,1233,2,2,43
Plot  Area,Ready To Move,Chokkanahalli,1 Bedroom,,1200,1,1,28
Super built-up  Area,18-Oct,Hosur Road,3 BHK,PuendWe,1510,2,1,105
Super built-up  Area,Ready To Move,Kaggalipura,2 BHK,Baowsig,950,2,1,65
Super built-up  Area,Ready To Move,Battarahalli,3 BHK,PaontWa,1945,3,2,97.42
Super built-up  Area,Ready To Move,Uttarahalli,2 BHK,Shierhi,1008,2,3,45
Super built-up  Area,Ready To Move,Thanisandra,3 BHK,Bhmesy ,1265,2,1,79
Super built-up  Area,19-Dec,Hebbal,3 BHK,Magiaya,1255,2,1,77.68
Built-up  Area,18-Dec,Kanakpura Road,4 BHK,PrityFa,2689,6,2,220
Built-up  Area,Ready To Move,Yelenahalli,2 BHK,,1200,2,2,46.17
Super built-up  Area,19-Dec,Sarjapur  Road,3 BHK,Daivon ,1403,3,3,51.63
Super built-up  Area,Ready To Move,Kudlu Gate,3 BHK,Srier P,1535,3,2,85
Plot  Area,Ready To Move,Chikkaballapur,3 Bedroom,,1500,3,3,100
Super built-up  Area,Ready To Move,Chamrajpet,3 BHK,SihtsHe,1475,2,2,120
Super built-up  Area,Ready To Move,Uttarahalli,3 BHK,,1390,2,2,60.47
Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,3 BHK,,1278,2,1,53.76
Super built-up  Area,Ready To Move,VGP Layout,2 BHK,AbnceEs,1133,2,2,55
Plot  Area,Ready To Move,Classic Paradise Layout,5 Bedroom,,1560,5,1,145
Plot  Area,Ready To Move,Byappanahalli,5 Bedroom,,2900,5,2,90
Super built-up  Area,Ready To Move,Kogilu,2 BHK,,1170,2,1,51.99
Plot  Area,Ready To Move,Sahakara Nagar,3 Bedroom,,1200,3,3,200
Super built-up  Area,18-Dec,Whitefield,3 BHK,Prtates,1697,3,2,94.79
Super built-up  Area,Ready To Move,Thanisandra,3 BHK,,1651,3,3,97.38
Super built-up  Area,Ready To Move,Vasanth nagar,3 BHK,Siace P,1560,3,1,188
Super built-up  Area,17-Apr,Hennur Road,3 BHK,Koagati,1192,2,1,60
Built-up  Area,Ready To Move,OMBR Layout,2 BHK,,1078,2,3,65
Plot  Area,Ready To Move,Kumaraswami Layout,4 Bedroom,,800,7,3,105
Super built-up  Area,Ready To Move,Kasavanhalli,2 BHK,Salisal,1349,2,2,78
Plot  Area,Ready To Move,Ulsoor,4 Bedroom,,2300,8,1,210
Super built-up  Area,Ready To Move,7th Phase JP Nagar,3 BHK,Eladero,1680,3,2,120
Super built-up  Area,Ready To Move,Rayasandra,3 BHK,,1314,2,2,63
Super built-up  Area,Ready To Move,Garudachar Palya,2 BHK,,1060,2,1,48.7
Built-up  Area,Ready To Move,Kalyan nagar,2 BHK,SLnorMa,820,2,0,39
Plot  Area,Ready To Move,Whitefield,4 Bedroom,Skensk ,5000,4,3,400
Super built-up  Area,Ready To Move,BEML Layout,3 BHK,,2000,3,2,85
Super built-up  Area,Ready To Move,Kalkere,2 BHK,Sothin ,856,2,3,40
Super built-up  Area,18-Feb,Rajaji Nagar,3 BHK,Puwerun,1621,4,0,130
Plot  Area,18-Dec,ITPL,3 Bedroom,,1200,3,1,68.4
Super built-up  Area,Ready To Move,Bannerghatta Road,3 BHK,TGjraVa,1484,3,2,52.5
Plot  Area,Ready To Move,T.C. Palya,4 Bedroom,,600,5,2,60
Plot  Area,Ready To Move,Siddapura,4 Bedroom,Apavea ,14000,3,2,800
Super built-up  Area,Ready To Move,Yelahanka New Town,1 BHK,KHatsFl,500,1,1,20
Super built-up  Area,Ready To Move,Makali,1 BHK,,485,1,1,15
Super built-up  Area,Ready To Move,7th Phase JP Nagar,2 BHK,,1050,2,1,42
Super built-up  Area,Ready To Move,Uttarahalli,3 BHK,,1617,3,3,66.68
Built-up  Area,Ready To Move,Electronic City,2 BHK,Itelaa ,550,1,1,16
Built-up  Area,Ready To Move,RWF West Colony,3 BHK,PancyRe,1384,3,2,62.28
Super built-up  Area,18-Apr,Devanahalli,2 BHK,,1408,2,2,85
Built-up  Area,Ready To Move,Uttarahalli,2 BHK,Sungsha,1150,2,1,49
Super built-up  Area,Ready To Move,Akshaya Nagar,3 BHK,,1410,2,2,75
Built-up  Area,Ready To Move,Kaggadasapura,4 BHK,Adsia F,2150,4,1,100
Super built-up  Area,Ready To Move,Koramangala,3 BHK,,2292,4,1,275
Built-up  Area,Ready To Move,Malleshwaram,3 BHK,Maens G,2006,3,,297
Built-up  Area,Ready To Move,Maragondanahalli,3 BHK,ArnzaFi,1508,3,2,70.25
Built-up  Area,Ready To Move,Ramamurthy Nagar,2 BHK,Foghaa ,1040,2,2,50
Plot  Area,Ready To Move,TC Palaya,2 Bedroom,Lancy R,1240,2,1,60
Super built-up  Area,Ready To Move,Kudlu Gate,3 BHK,Srier P,1535,3,1,78
Built-up  Area,Ready To Move,Lakshminarayana Pura,2 BHK,RothaVa,1180,2,2,75
Built-up  Area,Ready To Move,Abbigere,6 Bedroom,,2200,6,2,68
Super built-up  Area,Ready To Move,Bannerghatta Road,2 BHK,SNity S,1400,2,2,78
Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,1 BHK,,500,1,1,25
Plot  Area,Ready To Move,Whitefield,4 Bedroom,Pronege,4800,4,3,525
Super built-up  Area,Ready To Move,Sarjapur  Road,3 BHK,Puallhi,1984,4,1,146
Plot  Area,Ready To Move,Whitefield,4 Bedroom,VDe 1Du,3000,5,3,250
Super built-up  Area,Ready To Move,Garudachar Palya,3 BHK,BrlisMe,1960,3,3,160
Super built-up  Area,Ready To Move,Sarjapur  Road,2 BHK,Shthi S,1035,2,1,45
Built-up  Area,Ready To Move,Vibuthipura,4 Bedroom,,2150,4,1,80
Built-up  Area,Ready To Move,Whitefield,3 BHK,Mithmn ,1700,3,2,115
Super built-up  Area,Ready To Move,Hosakerehalli,4 BHK,Taonte ,3024,5,1,248
Super built-up  Area,21-Jan,Tumkur Road,3 BHK,Sapus S,1586,3,1,100
Built-up  Area,18-May,Hennur,3 Bedroom,Asoilul,2264,,,155
Plot  Area,Ready To Move,Chikka Tirupathi,4 Bedroom,Theanmp,2325,4,1,120
Super built-up  Area,Ready To Move,Yelahanka,2 BHK,Rarthne,1120,2,2,55
Super built-up  Area,18-Jun,Yelahanka,3 BHK,Shalkri,1440 - 1884,,,67.98
Super built-up  Area,Ready To Move,Sarjapur  Road,2 BHK,CharkGr,1128,2,2,59
Plot  Area,Ready To Move,5th Block Hbr Layout,6 Bedroom,,1200,6,2,250
Super built-up  Area,Ready To Move,Jigani,2 BHK,DLhtsan,924,2,2,65
Super built-up  Area,Ready To Move,Suraksha Nagar,3 BHK,AritaFe,1600,3,2,52
Super built-up  Area,Ready To Move,Pai Layout,2 BHK,,1006,2,2,35
Super built-up  Area,Ready To Move,Amruthahalli,2 BHK,Srncy R,1200,2,2,55
Super built-up  Area,20-Dec,Jalahalli West,2 BHK,,1250,2,1,62
Plot  Area,Ready To Move,Defence Layout,3 Bedroom,,1200,3,1,130
Built-up  Area,Ready To Move,Kannamangala,2 BHK,VBownre,957,2,1,56
Super built-up  Area,Ready To Move,Whitefield,2 BHK,SSthamh,1140,2,2,41
Super built-up  Area,Ready To Move,Roopena Agrahara,2 BHK,RortsCo,1050,2,1,67
Super built-up  Area,Ready To Move,Kasturi Nagar,3 BHK,,1565,3,2,88.5
Super built-up  Area,Ready To Move,Whitefield,2 BHK,GClmsun,1190,2,3,57
Built-up  Area,18-Jan,Whitefield,3 Bedroom,,2842,3,2,162
Built-up  Area,Ready To Move,Kanakpura Road,3 BHK,SoapeSu,1558.67,2,2,65
